# created: Thu Jun  6 01:42:51 AM UTC 2024
# script: pkg_manifests_save_all_details
NAME                                               NAMESPACE                                   CATALOG_SOURCE        SOURCE_NAMESPACE        DEFAULT_CHANNEL             CHANNELS                                                                                                                                                                                                                                                                                              NS_OWN   NS_SINGLE   NS_MULTI   NS_ALL   DISPLAY_NAME
ack-memorydb-controller                            ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 <none>   <none>      <none>     true     AWS Controllers for Kubernetes - MemoryDB
ack-mq-controller                                  ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon MQ
ack-networkfirewall-controller                     ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Network Firewall
ack-opensearchservice-controller                   ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon OpenSearch Service
ack-organizations-controller                       ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Organizations
ack-pipes-controller                               ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon EventBridge Pipes
ack-prometheusservice-controller                   ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Prometheus
ack-rds-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon RDS
ack-route53-controller                             ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Route53
ack-route53resolver-controller                     ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Route53Resolver
ack-s3-controller                                  ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon S3
ack-sagemaker-controller                           ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon SageMaker
ack-secretsmanager-controller                      ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Secrets Manager
ack-sfn-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon Step Functions
ack-sns-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon SNS
ack-sqs-controller                                 ack-system                                  community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     AWS Controllers for Kubernetes - Amazon SQS
advanced-cluster-management                        open-cluster-management                     redhat-operators      openshift-marketplace   release-2.10                release-2.10,release-2.8,release-2.9                                                                                                                                                                                                                                                                  true     false       false      false    Advanced Cluster Management for Kubernetes
aerospike-kubernetes-operator                      <none>                                      community-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        true       true     Aerospike Kubernetes Operator
aerospike-kubernetes-operator-rhmp                 <none>                                      redhat-marketplace    openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        true       true     Aerospike Kubernetes Operator
