# created: Thu Jun  6 01:42:51 AM UTC 2024
# script: pkg_manifests_save_all_details
NAME                                               NAMESPACE                                   CATALOG_SOURCE        SOURCE_NAMESPACE        DEFAULT_CHANNEL             CHANNELS                                                                                                                                                                                                                                                                                              NS_OWN   NS_SINGLE   NS_MULTI   NS_ALL   DISPLAY_NAME
bookkeeper-operator                                <none>                                      certified-operators   openshift-marketplace   alpha                       alpha,beta,stable                                                                                                                                                                                                                                                                                     true     true        false      true     BookKeeper Operator
bpfd-operator                                      <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Bpfd Operator
bpfman-operator                                    <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Bpfman Operator
businessautomation-operator                        <none>                                      redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Business Automation
camel-k                                            <none>                                      community-operators   openshift-marketplace   stable-v2                   candidate,latest,stable,stable-1.10,stable-1.11,stable-1.12,stable-1.5,stable-1.6,stable-1.7,stable-1.8,stable-1.9,stable-2.0,stable-v2                                                                                                                                                               true     true        false      true     Camel K Operator
camel-karavan-operator                             <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 <none>   <none>      <none>     true     Camel Karavan Operator
cass-operator                                      <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     DataStax Kubernetes Operator for Apache Cassandra
cass-operator-community                            <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     DataStax Kubernetes Operator for Apache Cassandra
ccm-node-agent-dcap-operator                       <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     CCM Node Agent DCAP Operator
ccm-node-agent-operator                            <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     CCM Node Agent Operator
cert-manager                                       <none>                                      community-operators   openshift-marketplace   stable                      candidate,stable                                                                                                                                                                                                                                                                                      false    false       false      true     cert-manager
cert-utils-operator                                cert-utils-operator                         community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Cert Utils Operator
cilium                                             <none>                                      certified-operators   openshift-marketplace   1.15                        1.10,1.11,1.12,1.13,1.14,1.15,1.9,stable                                                                                                                                                                                                                                                              true     true        false      false    Cilium
cilium-enterprise                                  <none>                                      certified-operators   openshift-marketplace   1.15                        1.10,1.11,1.12,1.13,1.14,1.15                                                                                                                                                                                                                                                                         true     true        false      false    Cilium Enterprise
cincinnati-operator                                openshift-update-service                    redhat-operators      openshift-marketplace   v1                          v1                                                                                                                                                                                                                                                                                                    true     false       false      false    OpenShift Update Service
citrix-adc-istio-ingress-gateway-operator          <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Citrix ADC Istio Ingress Gateway Operator
citrix-cpx-istio-sidecar-injector-operator         <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Citrix ADC CPX Istio Sidecar Injector Operator
citrix-cpx-with-ingress-controller-operator        <none>                                      certified-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        true       true     Citrix ADC CPX with Ingress Controller
citrix-cpx-with-ingress-controller-operator-rhmp   <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Citrix ADC CPX with Ingress Controller
citrix-ingress-controller-operator                 <none>                                      certified-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        true       true     Citrix Ingress Controller
citrix-ingress-controller-operator-rhmp            <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Citrix Ingress Controller
cloud-native-postgresql                            <none>                                      certified-operators   openshift-marketplace   stable-v1.23                --default-channel,fast,stable-v1.18,stable-v1.19,stable-v1.20,stable-v1.21,stable-v1.22,stable-v1.23                                                                                                                                                                                                  true     true        true       true     EDB Postgres for Kubernetes
cloudbees-ci                                       <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     CloudBees CI
cloudbees-ci-rhmp                                  <none>                                      redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        true       true     CloudBees CI
cloudnative-pg                                     <none>                                      certified-operators   openshift-marketplace   stable-v1                   stable-v1                                                                                                                                                                                                                                                                                             true     true        true       true     CloudNativePG
cluster-aas-operator                               <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Cluster as a service operator
cluster-impairment-operator                        <none>                                      community-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  false    false       false      true     cluster-impairment-operator
cluster-kube-descheduler-operator                  <none>                                      redhat-operators      openshift-marketplace   stable                      4.13,stable                                                                                                                                                                                                                                                                                           true     true        false      false    Kube Descheduler Operator
cluster-logging                                    openshift-logging                           redhat-operators      openshift-marketplace   stable-5.9                  stable,stable-5.7,stable-5.8,stable-5.9                                                                                                                                                                                                                                                               true     true        true       true     Red Hat OpenShift Logging
cluster-manager                                    <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     Cluster Manager
cluster-observability-operator                     <none>                                      redhat-operators      openshift-marketplace   development                 development                                                                                                                                                                                                                                                                                           false    false       false      true     Cluster Observability Operator
cluster-relocation-operator                        <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Cluster Relocation Operator
clusterresourceoverride                            <none>                                      redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    ClusterResourceOverride Operator
cnfv-operator                                      <none>                                      certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     CloudNFV
cockroachdb                                        <none>                                      community-operators   openshift-marketplace   stable-v6.x                 stable-5.x,stable-v6.x                                                                                                                                                                                                                                                                                true     true        false      true     CockroachDB Helm Operator
cockroachdb-certified                              <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     CockroachDB Operator
cockroachdb-certified-rhmp                         <none>                                      redhat-marketplace    openshift-marketplace   stable                      beta,stable                                                                                                                                                                                                                                                                                           true     true        false      false    CockroachDB Operator
codeflare-operator                                 openshift-operators                         community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     CodeFlare Operator
community-kubevirt-hyperconverged                  kubevirt-hyperconverged                     community-operators   openshift-marketplace   1.10.7                      1.10.7,stable                                                                                                                                                                                                                                                                                         false    false       false      true     KubeVirt HyperConverged Cluster Operator
community-trivy-operator                           <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     Community Trivy Operator
community-windows-machine-config-operator          openshift-windows-machine-config-operator   community-operators   openshift-marketplace   preview                     preview                                                                                                                                                                                                                                                                                               true     false       false      false    Community Windows Machine Config Operator
compliance-operator                                openshift-compliance                        redhat-operators      openshift-marketplace   stable                      4.7,release-0.1,stable                                                                                                                                                                                                                                                                                true     true        true       false    Compliance Operator
confluent-for-kubernetes                           <none>                                      certified-operators   openshift-marketplace   2.8                         2.7,2.8                                                                                                                                                                                                                                                                                               true     true        true       true     Confluent for Kubernetes
conjur-follower-operator                           <none>                                      certified-operators   openshift-marketplace   stable                      preview,stable                                                                                                                                                                                                                                                                                        true     false       false      true     Conjur Enterprise Follower Operator
container-security-operator                        <none>                                      redhat-operators      openshift-marketplace   stable-3.11                 quay-v3.4,quay-v3.5,stable-3.10,stable-3.11,stable-3.6,stable-3.7,stable-3.8,stable-3.9                                                                                                                                                                                                               true     true        true       true     Quay Container Security
costmanagement-metrics-operator                    costmanagement-metrics-operator             redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      false    Cost Management Metrics Operator
couchbase-enterprise-certified                     <none>                                      certified-operators   openshift-marketplace   2.6.2                       2.6.0,2.6.1,2.6.2,stable                                                                                                                                                                                                                                                                              true     true        false      true     Couchbase Operator
couchbase-enterprise-certified-rhmp                <none>                                      redhat-marketplace    openshift-marketplace   2.6.2                       2.6.0,2.6.2,stable                                                                                                                                                                                                                                                                                    true     true        false      true     Couchbase Operator
crunchy-postgres-operator                          <none>                                      certified-operators   openshift-marketplace   v5                          v5                                                                                                                                                                                                                                                                                                    true     true        false      true     Crunchy Postgres for Kubernetes
crunchy-postgres-operator-rhmp                     <none>                                      redhat-marketplace    openshift-marketplace   v5                          v5                                                                                                                                                                                                                                                                                                    true     true        false      true     Crunchy Postgres for Kubernetes
cryostat-operator                                  <none>                                      redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     Red Hat build of Cryostat
cte-k8s-operator                                   <none>                                      certified-operators   openshift-marketplace   stable                      candidate,stable                                                                                                                                                                                                                                                                                      false    false       false      true     CipherTrust Transparent Encryption for Kubernetes (CTE-K8s) Operator
customized-user-remediation                        openshift-workload-availability             community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Customized User Remediation Operator - Community Edition
cxl-operator                                       <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     extend-community-operator
dapr-kubernetes-operator                           <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Dapr Control Plane Operator
datadog-operator                                   <none>                                      community-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        false      true     Datadog Operator
datadog-operator-certified                         <none>                                      certified-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          false    false       false      true     Datadog Operator
datadog-operator-certified-rhmp                    <none>                                      redhat-marketplace    openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          false    false       false      true     Datadog Operator
datagrid                                           <none>                                      redhat-operators      openshift-marketplace   8.4.x                       8.2.x,8.3.x,8.4.x                                                                                                                                                                                                                                                                                     true     true        true       true     Data Grid
datatrucker-operator                               <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     DataTrucker.IO
dbaas-operator                                     openshift-dbaas-operator                    community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     OpenShift Database Access Operator
debezium-operator                                  <none>                                      community-operators   openshift-marketplace   debezium-latest             debezium-2.4.x,debezium-2.5.x,debezium-2.6.x,debezium-latest                                                                                                                                                                                                                                          true     true        true       true     Debezium Operator
dell-csm-operator                                  <none>                                      community-operators   openshift-marketplace   stable                      alpha,stable                                                                                                                                                                                                                                                                                          true     true        false      true     Dell CSM Operator
dell-csm-operator-certified                        <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     Dell Container Storage Modules
deployment-validation-operator                     <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Deployment Validation Operator
deployment-validation-operator                     <none>                                      redhat-operators      openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     Deployment Validation Operator
devopsinabox                                       <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Devops-in-a-box
devspaces                                          openshift-operators                         redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Red Hat OpenShift Dev Spaces
devworkspace-operator                              <none>                                      redhat-operators      openshift-marketplace   fast                        fast                                                                                                                                                                                                                                                                                                  false    false       false      true     DevWorkspace Operator
digitalai-deploy-operator                          <none>                                      certified-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  true     true        true       true     Digital.ai Deploy
digitalai-release-operator                         <none>                                      certified-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  true     true        true       true     Digital.ai Release
dns-operator                                       <none>                                      community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     DNS Operator
dpu-network-operator                               openshift-dpu-network-operator              redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     DPU Network Operator
dynatrace-operator                                 dynatrace                                   community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Dynatrace Operator
dynatrace-operator                                 dynatrace                                   certified-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Dynatrace Operator
dynatrace-operator-rhmp                            dynatrace                                   redhat-marketplace    openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Dynatrace Operator
eap                                                <none>                                      redhat-operators      openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        false      true     JBoss EAP
eclipse-amlen-operator                             <none>                                      community-operators   openshift-marketplace   alpha                       alpha,stable                                                                                                                                                                                                                                                                                          true     false       false      true     eclipse-amlen-operator
eclipse-che                                        openshift-operators                         community-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                false    false       false      true     Eclipse Che
ecr-secret-operator                                ecr-secret-operator                         community-operators   openshift-marketplace   v0.4                        v0.3,v0.4                                                                                                                                                                                                                                                                                             true     true        true       true     ECR Secret Operator
edp-keycloak-operator                              <none>                                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 true     true        false      true     EDP Keycloak Operator
eginnovations-operator                             <none>                                      community-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  false    false       false      true     eG Innovations Universal Agent Operator
eginnovations-operator                             <none>                                      certified-operators   openshift-marketplace   beta                        beta                                                                                                                                                                                                                                                                                                  false    false       false      true     eG Innovations Universal Agent Operator
egressip-ipam-operator                             egressip-ipam-operator                      community-operators   openshift-marketplace   alpha                       alpha                                                                                                                                                                                                                                                                                                 false    false       false      true     Egressip Ipam Operator
elasticsearch-eck-operator-certified               <none>                                      certified-operators   openshift-marketplace   stable                      stable                                                                                                                                                                                                                                                                                                true     true        true       true     Elasticsearch (ECK) Operator
elasticsearch-operator                             openshift-operators-redhat                  redhat-operators      openshift-marketplace   stable-5.8                  stable,stable-5.7,stable-5.8                                                                                                                                                                                                                                                                          true     false       false      true     OpenShift Elasticsearch Operator
